channel,onset,duration,peak_onset,type,frequency,amplitude,phase_angle,lag,sw_wind_start,sw_wind_end,sw_neg_peak,overlap,cluster_size,i_within_cluster,NREM2,NREM3,NREM23
Cz,330.868,0.8,331.532,sp_unc,13.1970639552724,10.4710362465436,NaN,NaN,NaN,NaN,NaN,0,4,1,1,,1
C4,332.46,0.74,332.596,sp_unc,14.1987296261575,9.57671464503645,NaN,NaN,NaN,NaN,NaN,0,4,2,2,,2
Pz,333.344,0.52,333.752,sp_unc,13.4659286362073,8.13718826826705,NaN,NaN,NaN,NaN,NaN,1,4,3,3,,3
C3,334.796,0.616,335.232,sp_unc,14.3090108243561,10.6551922411961,NaN,NaN,NaN,NaN,NaN,0,4,4,4,,4
C4,341.4,0.56,341.58,sp_unc,13.2653713245818,19.3923618888593,NaN,NaN,NaN,NaN,NaN,0,1,1,5,,5
Cz,351.032,0.696,351.208,sp_unc,15.0997108040452,13.7591586918243,NaN,NaN,NaN,NaN,NaN,0,4,1,6,,6
Fz,356.208,0.524,356.364,sp_unc,12.2655610459854,14.5378351786051,NaN,NaN,NaN,NaN,NaN,0,4,2,7,,7
Cz,359.92,0.972,360.624,sp_unc,12.8186214021249,10.167970656072,NaN,NaN,NaN,NaN,NaN,1,4,3,8,,8
Pz,362.504,0.6,362.628,sp_unc,12.4928301720266,8.81833397397224,NaN,NaN,NaN,NaN,NaN,0,4,4,9,,9
C4,371.428,0.876,371.972,sp_unc,14.1009893659981,10.9598414301975,NaN,NaN,NaN,NaN,NaN,0,1,1,10,,10
Fz,378.548,0.548,378.872,sp_unc,12.9088643697777,13.4541368419781,NaN,NaN,NaN,NaN,NaN,0,2,1,11,,11
C4,381.144,1.148,382.056,sp_unc,13.5535725621904,11.6222232783229,NaN,NaN,NaN,NaN,NaN,0,2,2,12,,12
Pz,405.8,0.752,406.056,sp_unc,13.8265959661796,12.8936620895738,NaN,NaN,NaN,NaN,NaN,0,2,1,13,,13
Fz,408.444,0.524,408.584,sp_unc,12.1762985189789,19.5461396211742,NaN,NaN,NaN,NaN,NaN,1,2,2,14,,14
Cz,421.604,0.652,421.768,sp_unc,13.5895089029764,12.2333245797466,NaN,NaN,NaN,NaN,NaN,0,1,1,15,,15
C3,436.872,0.664,437.344,sp_unc,13.8781005823382,26.5642334794903,NaN,NaN,NaN,NaN,NaN,0,1,1,16,,16
